Date,Close,Change,Open,High,Low,Volume,Tziros
17/12/2019,0.36,"-0,5479%","0,3655","0,37",363,179.209,"65.615,39"
18/12/2019,0.37,"2,7548%",363,376,363,235.405,"87.494,10"
19/12/2019,0.37,"-1,7426%","0,3725",385,"0,3665",243.665,"90.519,06"
20/12/2019,0.37,"0,4093%",367,"0,3735","0,36",261.73,"95.581,43"
23/12/2019,0.39,"5,8424%","0,37","0,3895",362,407.152,"154.878,04"
27/12/2019,0.38,"-2,6958%","0,3885",389,379,93.308,"35.898,18"
30/12/2019,0.37,"-2,2427%","0,38","0,3875",369,142.092,"53.049,01"
31/12/2019,0.37,"-0,6748%","0,3695",375,368,154.525,"57.153,12"
02/1/2020,0.39,"6,1141%","0,37","0,3945","0,37",188.972,"72.344,87"
03/1/2020,0.39,"-0,6402%",385,"0,39",381,210.677,"81.172,18"
07/1/2020,0.39,"1,2887%",393,394,"0,3805",286.732,"112.206,19"
08/1/2020,0.38,"-2,2901%","0,3765",391,"0,3765",207.642,"80.140,63"
09/1/2020,0.38,"0,0000%",396,"0,3965",382,335.707,"130.609,81"
10/1/2020,0.38,"0,0000%",386,388,377,163.531,"62.370,18"
13/1/2020,0.38,"-0,9115%",386,"0,3915","0,3805",103.751,"40.080,23"
14/1/2020,0.38,"0,7884%","0,38","0,39",375,168.56,"64.185,69"
15/1/2020,0.39,"0,5215%",389,395,381,508.302,"197.467,76"
16/1/2020,0.39,"0,1297%",391,392,382,59.17,"22.847,40"
17/1/2020,0.38,"-1,5544%","0,39","0,39","0,38",133.199,"50.958,99"
20/1/2020,0.40,"5,1316%",381,"0,41",381,764.759,"307.409,53"
21/1/2020,0.40,"-0,2503%","0,3995","0,3995","0,39",191.66,"75.814,84"
22/1/2020,0.39,"-1,0038%",404,405,394,85.194,"33.818,51"
23/1/2020,0.39,"-1,5209%","0,3985","0,3985","0,3885",122.164,"47.705,64"
24/1/2020,0.40,"1,6731%","0,3945",395,"0,3845",378.366,"147.232,70"
27/1/2020,0.39,"-2,0253%","0,3905","0,3935",384,108.843,"42.116,81"
28/1/2020,0.38,"-1,5504%",397,397,381,74.234,"28.737,95"
29/1/2020,0.39,"1,3123%","0,39","0,39","0,3825",55.3,"21.385,60"
30/1/2020,0.38,"-2,4611%","0,38",383,371,223.131,"84.029,01"
03/2/2020,0.37,"-1,9920%",366,"0,3755","0,3615",148.333,"54.570,97"
04/2/2020,0.38,"1,8970%",369,"0,3815",369,102.917,"38.848,44"
05/2/2020,0.37,"-1,0638%","0,38","0,3825",372,155.025,"58.805,29"
06/2/2020,0.37,"-0,4032%",373,376,"0,3695",114.44,"42.548,01"
07/2/2020,0.36,"-2,8340%","0,3705",371,"0,36",126.272,"45.909,86"
10/2/2020,0.37,"3,3333%","0,36",372,355,193.899,"69.967,31"
11/2/2020,0.37,"-0,5376%",372,375,"0,3675",98.867,"36.728,88"
12/2/2020,0.37,"0,2703%","0,37","0,3795",365,197.58,"73.538,54"
13/2/2020,0.37,"-0,8086%",368,"0,37","0,3605",117.109,"42.936,21"
14/2/2020,0.37,"-0,5435%",368,"0,37","0,36",107.595,"39.192,91"
17/2/2020,0.36,"-1,5027%","0,3685",373,"0,36",150.034,"54.580,90"
18/2/2020,0.36,"-0,2774%",361,363,"0,3595",98.244,"35.395,76"
19/2/2020,0.36,"0,8345%","0,3545",368,352,262.785,"94.463,49"
20/2/2020,0.36,"-0,1379%","0,37","0,37","0,36",109.898,"39.995,82"
21/2/2020,0.35,"-3,5912%",362,362,349,170.431,"60.284,92"
24/2/2020,0.28,"-19,7708%","0,34","0,34",279,1.038.288,"309.698,88"
25/2/2020,0.24,"-14,2857%",248,"0,2685",225,2.038.218,"501.970,69"
26/2/2020,0.25,"2,0833%","0,23","0,25",221,757.028,"179.733,95"
27/2/2020,0.22,"-11,8367%","0,2495","0,25",216,688.799,"159.224,84"
28/2/2020,0.21,"-3,2407%",198,"0,21",191,554.455,"111.257,16"
03/3/2020,0.22,"2,8708%","0,22",229,215,565.781,"124.352,23"
04/3/2020,0.21,"-2,3256%",211,"0,22","0,1994",716.182,"149.342,27"
05/3/2020,0.17,"-19,0476%","0,21",216,162,760.534,"146.207,76"
06/3/2020,0.17,"0,0000%","0,17","0,17","0,15",621.759,"101.351,40"
09/3/2020,0.14,"-18,8235%","0,17","0,17",138,703.401,"104.748,82"
10/3/2020,0.14,"1,5942%",138,"0,15",138,925.618,"133.724,80"
11/3/2020,0.13,"-5,7061%",135,153,"0,1274",929.609,"131.956,28"
12/3/2020,0.12,"-11,8003%","0,1322","0,1322",112,384.958,"45.661,88"
13/3/2020,0.11,"-5,6604%",117,"0,1238",109,555.26,"64.943,68"
16/3/2020,0.09,"-18,9091%","0,1","0,1",85,529.951,"48.950,86"
17/3/2020,0.10,"6,5022%","0,1","0,1",84,1.041.087,"93.829,77"
18/3/2020,0.10,"1,0526%","0,09","0,0989","0,09",457.508,"43.552,05"
19/3/2020,0.11,"14,1667%","0,1","0,11",99,844.946,"86.795,08"
20/3/2020,0.13,"22,8102%",119,139,118,745.12,"95.899,18"
23/3/2020,0.12,"-9,3611%","0,1346",135,115,141.9,"18.109,15"
24/3/2020,0.14,"18,0328%",122,145,122,380.095,"52.275,30"
26/3/2020,0.15,"1,6667%",144,155,"0,1362",627.017,"91.945,95"
