date,close,open,high,low,volume,change
5-Apr-11,1332.63,"1,332.03","1,338.21","1,330.03",-,-0.02%
6-Apr-11,1335.54,"1,335.94","1,339.38","1,331.09",-,0.22%
7-Apr-11,1333.51,"1,334.82","1,338.80","1,326.56",-,-0.15%
8-Apr-11,1328.17,"1,336.16","1,339.46","1,322.94",-,-0.40%
11-Apr-11,1324.46,"1,329.01","1,333.77","1,321.06",-,-0.28%
12-Apr-11,1314.16,"1,321.96","1,321.96","1,309.51",-,-0.78%
13-Apr-11,1314.41,"1,314.03","1,321.35","1,309.19",-,0.02%
14-Apr-11,1314.52,"1,311.13","1,316.79","1,302.42",-,0.01%
15-Apr-11,1319.68,"1,314.54","1,322.88","1,313.68",-,0.39%
18-Apr-11,1305.14,"1,313.35","1,313.35","1,294.70",-,-1.10%
19-Apr-11,1312.62,"1,305.99","1,312.70","1,303.97",-,0.57%
20-Apr-11,1330.36,"1,319.12","1,332.66","1,319.12",-,1.35%
21-Apr-11,1337.38,"1,333.23","1,337.49","1,332.83",-,0.53%
25-Apr-11,1335.25,"1,337.14","1,337.55","1,331.47",-,-0.16%
26-Apr-11,1347.24,"1,336.75","1,349.55","1,336.75",-,0.90%
27-Apr-11,1355.66,"1,348.43","1,357.49","1,344.25",-,0.62%
28-Apr-11,1360.48,"1,353.86","1,361.71","1,353.60",-,0.36%
29-Apr-11,1363.61,"1,360.14","1,364.56","1,358.69",-,0.23%
2-May-11,1361.22,"1,365.21","1,370.58","1,358.59",-,-0.18%
3-May-11,1356.62,"1,359.76","1,360.84","1,349.52",-,-0.34%
4-May-11,1347.32,"1,355.90","1,355.90","1,341.50",-,-0.69%
5-May-11,1335.10,"1,344.16","1,348.00","1,329.17",-,-0.91%
6-May-11,1340.20,"1,340.24","1,354.36","1,335.58",-,0.38%
9-May-11,1346.29,"1,340.20","1,349.44","1,338.64",-,0.45%
10-May-11,1357.16,"1,348.34","1,359.44","1,348.34",-,0.81%
11-May-11,1342.08,"1,354.51","1,354.51","1,336.36",-,-1.11%
12-May-11,1348.65,"1,339.39","1,351.05","1,332.03",-,0.49%
13-May-11,1337.77,"1,348.69","1,350.47","1,333.36",-,-0.81%
16-May-11,1329.47,"1,334.77","1,343.33","1,327.32",-,-0.62%
17-May-11,1328.98,"1,326.10","1,330.42","1,318.51",-,-0.04%
18-May-11,1340.68,"1,328.54","1,341.82","1,326.59",-,0.88%
19-May-11,1343.60,"1,342.40","1,346.82","1,336.36",-,0.22%
20-May-11,1333.27,"1,342.00","1,342.00","1,330.67",-,-0.77%
23-May-11,1317.37,"1,333.07","1,333.07","1,312.88",-,-1.19%
24-May-11,1316.28,"1,317.70","1,323.72","1,313.87",-,-0.08%
25-May-11,1320.47,"1,316.36","1,325.86","1,311.80",-,0.32%
26-May-11,1325.69,"1,320.64","1,328.51","1,314.41",-,0.40%
27-May-11,1331.10,"1,325.69","1,334.62","1,325.69",-,0.41%
31-May-11,1345.20,"1,331.10","1,345.20","1,331.10",-,1.06%
1-Jun-11,1314.55,"1,345.20","1,345.20","1,313.71",-,-2.28%
2-Jun-11,1312.94,"1,314.55","1,318.03","1,305.61",-,-0.12%
3-Jun-11,1300.16,"1,312.94","1,312.94","1,297.90",-,-0.97%
6-Jun-11,1286.17,"1,300.26","1,300.26","1,284.72",-,-1.08%
7-Jun-11,1284.94,"1,286.31","1,296.22","1,284.74",-,-0.10%
8-Jun-11,1279.56,"1,284.63","1,287.04","1,277.42",-,-0.42%
9-Jun-11,1289.00,"1,279.63","1,294.54","1,279.63",-,0.74%
10-Jun-11,1270.98,"1,288.60","1,288.60","1,268.28",-,-1.40%
13-Jun-11,1271.83,"1,271.31","1,277.04","1,265.64",-,0.07%
14-Jun-11,1287.87,"1,272.22","1,292.50","1,272.22",-,1.26%
15-Jun-11,1265.42,"1,287.87","1,287.87","1,261.90",-,-1.74%
16-Jun-11,1267.64,"1,265.53","1,274.11","1,258.07",-,0.18%
17-Jun-11,1271.50,"1,268.58","1,279.82","1,267.40",-,0.30%
20-Jun-11,1278.36,"1,271.50","1,280.42","1,267.56",-,0.54%
21-Jun-11,1295.52,"1,278.40","1,297.62","1,278.40",-,1.34%
22-Jun-11,1287.14,"1,295.48","1,298.61","1,286.79",-,-0.65%
23-Jun-11,1283.50,"1,286.60","1,286.60","1,262.87",-,-0.28%
24-Jun-11,1268.45,"1,283.04","1,283.93","1,267.24",-,-1.17%
27-Jun-11,1280.10,"1,268.44","1,284.91","1,267.53",-,0.92%
28-Jun-11,1296.67,"1,280.21","1,296.80","1,280.21",-,1.29%
29-Jun-11,1307.41,"1,296.85","1,309.21","1,296.85",-,0.83%
30-Jun-11,1320.64,"1,307.64","1,321.97","1,307.64",-,1.01%
1-Jul-11,1339.67,"1,320.64","1,341.01","1,318.18",-,1.44%
5-Jul-11,1337.88,"1,339.59","1,340.89","1,334.30",-,-0.13%
6-Jul-11,1339.22,"1,337.56","1,340.94","1,330.92",-,0.10%
7-Jul-11,1353.22,"1,339.62","1,356.48","1,339.62",-,1.05%
8-Jul-11,1343.80,"1,352.39","1,352.39","1,333.71",-,-0.70%
11-Jul-11,1319.49,"1,343.31","1,343.31","1,316.42",-,-1.81%
12-Jul-11,1313.64,"1,319.61","1,327.17","1,313.33",-,-0.44%
13-Jul-11,1317.72,"1,314.45","1,331.48","1,314.45",-,0.31%
14-Jul-11,1308.87,"1,317.74","1,326.88","1,306.51",-,-0.67%
15-Jul-11,1316.14,"1,308.87","1,317.70","1,307.52",-,0.56%
18-Jul-11,1305.44,"1,315.94","1,315.94","1,295.92",-,-0.81%
19-Jul-11,1326.73,"1,307.07","1,328.14","1,307.07",-,1.63%
20-Jul-11,1325.84,"1,328.66","1,330.43","1,323.65",-,-0.07%
21-Jul-11,1343.80,"1,325.65","1,347.00","1,325.65",-,1.35%
22-Jul-11,1345.02,"1,343.80","1,346.10","1,336.95",-,0.09%
25-Jul-11,1337.43,"1,344.32","1,344.32","1,331.09",-,-0.56%
26-Jul-11,1331.94,"1,337.39","1,338.51","1,329.59",-,-0.41%
27-Jul-11,1304.89,"1,331.91","1,331.91","1,303.49",-,-2.03%
28-Jul-11,1300.67,"1,304.84","1,316.32","1,299.16",-,-0.32%
29-Jul-11,1292.28,"1,300.12","1,304.16","1,282.86",-,-0.65%
1-Aug-11,1286.94,"1,292.59","1,307.38","1,274.73",-,-0.41%
2-Aug-11,1254.05,"1,286.56","1,286.56","1,254.03",-,-2.56%
3-Aug-11,1260.34,"1,254.25","1,261.20","1,234.56",-,0.50%
4-Aug-11,1200.07,"1,260.23","1,260.23","1,199.54",-,-4.78%
5-Aug-11,1199.38,"1,200.28","1,218.11","1,168.09",-,-0.06%
8-Aug-11,1119.46,"1,198.48","1,198.48","1,119.28",-,-6.66%
9-Aug-11,1172.53,"1,120.23","1,172.88","1,101.54",-,4.74%
10-Aug-11,1120.76,"1,171.77","1,171.77","1,118.01",-,-4.42%
11-Aug-11,1172.64,"1,121.30","1,186.29","1,121.30",-,4.63%
12-Aug-11,1178.81,"1,172.87","1,189.04","1,170.74",-,0.53%
15-Aug-11,1204.49,"1,178.86","1,204.49","1,178.86",-,2.18%
16-Aug-11,1192.76,"1,204.22","1,204.22","1,180.53",-,-0.97%
17-Aug-11,1193.89,"1,192.89","1,208.47","1,184.36",-,0.09%
18-Aug-11,1140.65,"1,189.62","1,189.62","1,131.03",-,-4.46%
19-Aug-11,1123.53,"1,140.47","1,154.54","1,122.05",-,-1.50%
22-Aug-11,1123.82,"1,123.55","1,145.49","1,121.09",-,0.03%
23-Aug-11,1162.35,"1,124.36","1,162.35","1,122.91",-,3.43%
24-Aug-11,1177.60,"1,162.16","1,178.56","1,156.30",-,1.31%
25-Aug-11,1159.27,"1,176.69","1,190.68","1,155.47",-,-1.56%
26-Aug-11,1176.80,"1,158.85","1,181.23","1,135.91",-,1.51%
29-Aug-11,1210.08,"1,177.91","1,210.28","1,177.91",-,2.83%
30-Aug-11,1212.92,"1,209.76","1,220.10","1,195.77",-,0.23%
31-Aug-11,1218.89,"1,213.00","1,230.71","1,209.35",-,0.49%
1-Sep-11,1204.42,"1,219.12","1,229.29","1,203.85",-,-1.19%
2-Sep-11,1173.97,"1,203.90","1,203.90","1,170.56",-,-2.53%
6-Sep-11,1165.24,"1,173.97","1,173.97","1,140.13",-,-0.74%
7-Sep-11,1198.62,"1,165.85","1,198.62","1,165.85",-,2.86%
8-Sep-11,1185.90,"1,197.98","1,204.40","1,183.34",-,-1.06%
9-Sep-11,1154.23,"1,185.37","1,185.37","1,148.37",-,-2.67%
12-Sep-11,1162.27,"1,153.50","1,162.52","1,136.07",-,0.70%
13-Sep-11,1172.87,"1,162.59","1,176.41","1,157.44",-,0.91%
14-Sep-11,1188.68,"1,173.32","1,202.38","1,162.73",-,1.35%
15-Sep-11,1209.11,"1,189.44","1,209.11","1,189.44",-,1.72%
16-Sep-11,1216.01,"1,209.21","1,220.06","1,204.46",-,0.57%
19-Sep-11,1204.09,"1,214.99","1,214.99","1,188.36",-,-0.98%
20-Sep-11,1202.09,"1,204.50","1,220.39","1,201.29",-,-0.17%
21-Sep-11,1166.76,"1,203.63","1,206.30","1,166.21",-,-2.94%
22-Sep-11,1129.56,"1,164.55","1,164.55","1,114.22",-,-3.19%
23-Sep-11,1136.43,"1,128.82","1,141.72","1,121.36",-,0.61%
26-Sep-11,1162.95,"1,136.91","1,164.19","1,131.07",-,2.33%
27-Sep-11,1175.38,"1,163.32","1,195.86","1,163.32",-,1.07%
28-Sep-11,1151.06,"1,175.39","1,184.71","1,150.40",-,-2.07%
29-Sep-11,1160.40,"1,151.74","1,175.87","1,139.93",-,0.81%
30-Sep-11,1131.42,"1,159.93","1,159.93","1,131.34",-,-2.50%
3-Oct-11,1099.23,"1,131.21","1,138.99","1,098.92",-,-2.85%
4-Oct-11,1123.95,"1,097.42","1,125.12","1,074.77",-,2.25%
5-Oct-11,1144.03,"1,124.03","1,146.07","1,115.68",-,1.79%
6-Oct-11,1164.97,"1,144.11","1,165.55","1,134.95",-,1.83%
7-Oct-11,1155.46,"1,165.03","1,171.40","1,150.26",-,-0.82%
10-Oct-11,1194.89,"1,158.15","1,194.91","1,158.15",-,3.41%
11-Oct-11,1195.54,"1,194.60","1,199.24","1,187.30",-,0.05%
12-Oct-11,1207.25,"1,196.19","1,220.25","1,196.19",-,0.98%
13-Oct-11,1203.66,"1,206.96","1,207.46","1,190.58",-,-0.30%
14-Oct-11,1224.58,"1,205.65","1,224.61","1,205.65",-,1.74%
17-Oct-11,1200.86,"1,224.47","1,224.47","1,198.55",-,-1.94%
18-Oct-11,1225.38,"1,200.75","1,233.10","1,191.48",-,2.04%
19-Oct-11,1209.88,"1,223.46","1,229.64","1,206.31",-,-1.26%
20-Oct-11,1215.39,"1,211.10","1,219.53","1,197.34",-,0.46%
21-Oct-11,1238.25,"1,215.39","1,239.03","1,215.39",-,1.88%
24-Oct-11,1254.19,"1,238.72","1,256.55","1,238.72",-,1.29%
25-Oct-11,1229.05,"1,254.19","1,254.19","1,226.79",-,-2.00%
26-Oct-11,1242.00,"1,229.17","1,246.28","1,221.06",-,1.05%
27-Oct-11,1284.59,"1,243.97","1,292.66","1,243.97",-,3.43%
28-Oct-11,1285.09,"1,284.39","1,287.08","1,277.01",-,0.04%
31-Oct-11,1253.30,"1,284.96","1,284.96","1,253.16",-,-2.47%
1-Nov-11,1218.28,"1,251.00","1,251.00","1,215.42",-,-2.79%
2-Nov-11,1237.90,"1,219.62","1,242.48","1,219.62",-,1.61%
3-Nov-11,1261.15,"1,238.25","1,263.21","1,234.81",-,1.88%
4-Nov-11,1253.23,"1,260.82","1,260.82","1,238.92",-,-0.63%
7-Nov-11,1261.12,"1,253.21","1,261.70","1,240.75",-,0.63%
8-Nov-11,1275.92,"1,261.12","1,277.55","1,254.99",-,1.17%
9-Nov-11,1229.10,"1,275.18","1,275.18","1,226.64",-,-3.67%
10-Nov-11,1239.69,"1,229.59","1,246.22","1,227.70",-,0.86%
11-Nov-11,1263.85,"1,240.12","1,266.98","1,240.12",-,1.95%
14-Nov-11,1251.78,"1,263.85","1,263.85","1,246.68",-,-0.96%
15-Nov-11,1257.81,"1,251.70","1,264.25","1,244.34",-,0.48%
16-Nov-11,1236.91,"1,257.81","1,259.61","1,235.67",-,-1.66%
17-Nov-11,1216.13,"1,236.56","1,237.73","1,209.43",-,-1.68%
18-Nov-11,1215.65,"1,216.19","1,223.51","1,211.36",-,-0.04%
21-Nov-11,1192.98,"1,215.62","1,215.62","1,183.16",-,-1.86%
22-Nov-11,1188.04,"1,192.98","1,196.81","1,181.65",-,-0.41%
23-Nov-11,1161.79,"1,187.48","1,187.48","1,161.79",-,-2.21%
25-Nov-11,1158.67,"1,161.41","1,172.66","1,158.66",-,-0.27%
28-Nov-11,1192.55,"1,158.67","1,197.35","1,158.67",-,2.92%
29-Nov-11,1195.19,"1,192.56","1,203.67","1,191.80",-,0.22%
30-Nov-11,1246.96,"1,196.72","1,247.11","1,196.72",-,4.33%
1-Dec-11,1244.58,"1,246.91","1,251.09","1,239.73",-,-0.19%
